Timestamp,"In the last year, how much money did you typically receive per hour of time spent on freelance mapmaking work?",How often do you feel you are paid fairly for your time when doing freelance mapping? Would you say:,"In the last year, how much did you depend on your freelance cartography income? Would you say:","In the last year, approximately what percentage of your personal income came from freelance mapping work?","How often do you seek advice or services from an accountant, related to your freelance mapping work?","How often do you seek advice or services from a lawyer, related to your freelance mapping work?",How often do you sign a written contract before beginning a freelance mapping project?,Do you carry professional liability insurance?,What is the legal structure of your freelance mapping business?,"In the last year, have you ever subcontracted any of your freelance work, or had an employee of yours work on your freelance projects?",Which of these best describes your gender identity?,"Which map-related degrees or certifications do you hold, if any?",Which of these options best describes you level of mapmaking experience?,Have the published results of previous versions of this survey influenced your business practices or rates?,"If you answered ""Yes"" above, please optionally indicate how previous surveys influenced you.","We'd love to hear any additional thoughts you may have about freelance rates or business practices, or if you have ideas for questions you feel we should ask next time."
4/2/2025 15:48:17,50,Most or all of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",1,Never,Never,Rarely,No,Individual / Sole Proprietorship,No,Man,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,Past surveys encouraged me to charge more for my time. In the past I've tended to undervalue my skills.,
4/2/2025 16:03:59,110,Most or all of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",65,Sometimes,Never,Frequently,No,Individual / Sole Proprietorship,No,Man,I have a BA but it's not map-related,Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,"My design agency/design entrepreneur background heavily influences how I conduct my freelance business (contracts, rates, client vetting, etc.). I don't know if that matters for the survey but it's been essential to what I do."
4/2/2025 16:08:45,175,Most or all of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",3,Sometimes,Never,Frequently,No,LLC,Yes,Man,,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I haven't seen any previous survey results,,
4/2/2025 18:58:36,21,Most or all of the time,I did not depend on it at all; mapping provided surplus income,2,Never,Never,Never,No,Individual / Sole Proprietorship,No,Woman,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),Yes,,
4/2/2025 19:03:34,,Some of the time,I did not depend on it at all; mapping provided surplus income,1,Never,Rarely,Never,No,Individual / Sole Proprietorship,No,Man,GISP certification,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I haven't seen any previous survey results,,"I am interested in language that I can put in a contract that puts the responsibility for errors and omissions 
on the client after he accepts the work.
"
4/2/2025 19:44:59,65,Most or all of the time,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",80,Never,Never,Sometimes,No,Individual / Sole Proprietorship,No,Man,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,The surveys have given me some confidence in my standard rates and a sense of the general range that seems fair,"I think the survey has touched on this in the past, but I’d love to have it offer some insight on how freelance cartographers get work/clients, perhaps including types of marketing and promotion people have found effective."
4/2/2025 21:01:25,,Rarely,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",5,Never,Never,Rarely,No,Individual / Sole Proprietorship,No,Man,,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
4/3/2025 3:26:19,80,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Never,Never,Rarely,No,Individual / Sole Proprietorship,No,Man,"GIS or cartography certificate, PhD in environmental history/historical geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,I pretty dramatically increased rates once I realized my client base was fairly upscale.,
4/3/2025 6:00:38,77.75,Most or all of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",25,Rarely,Rarely,Rarely,"Yes, but not because of a client requirement",Individual / Sole Proprietorship,No,Man,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, Ph.D. cartography/GIS/geography",Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
4/3/2025 7:37:17,10,Rarely,I did not depend on it at all; mapping provided surplus income,5,Never,Never,Rarely,No,Individual / Sole Proprietorship,No,Man,Ph.D. cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
4/3/2025 8:49:29,70,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Never,Never,Frequently,No,Individual / Sole Proprietorship,No,Woman,GIS or cartography certificate,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,raised my rates,
4/3/2025 9:53:01,70,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Sometimes,Never,Sometimes,No,Individual / Sole Proprietorship,No,Woman,Master’s degree in cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),Yes,"The results have either validated my rates, or encouraged me to raise them.",How many weeks/months are you booked for work/what is your waiting time for clients to get on your schedule? 
4/3/2025 10:09:46,150,Most or all of the time,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",,Sometimes,Rarely,Frequently,"Yes, because I am required to by a client",LLC,No,Man,,Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,
4/3/2025 10:33:28,0,Some of the time,I did not depend on it at all; mapping provided surplus income,0,Never,Never,Never,No,,No,Man,Master’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I haven't seen any previous survey results,,took the survey but all my freelance mapping has been done as a volunteer to help out various orgs (mostly conservation) so no money has changed hands. If this throws your survey off feel free to delete my entry :-)
4/3/2025 10:51:15,20,Rarely,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",90,Never,Never,Never,"Yes, but not because of a client requirement",Individual / Sole Proprietorship,No,Man,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography",Expert (equivalent to 20+ years of full-time mapmaking work),No,,
4/3/2025 12:23:10,50,Most or all of the time,I did not depend on it at all; mapping provided surplus income,1,Never,Never,Never,No,Assumed Name,No,Woman,,Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,I would love to obtain more knowledge on how to get started with freelance work more frequently. I've only worked either on personal projects or for close family/friends
4/3/2025 14:00:42,,Rarely,I did not depend on it at all; mapping provided surplus income,4,Never,Never,Rarely,No,Individual / Sole Proprietorship,No,Man,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,
4/4/2025 9:14:30,60,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,25,Never,Never,Frequently,No,Individual / Sole Proprietorship,No,Woman,,Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,"It is not easy to manage a freelance business while working FT. I feel I should be doing more, from a legal and business perspective, to increase my success. But I'm doing what I can!"
4/4/2025 13:04:56,20,Never,I did not depend on it at all; mapping provided surplus income,0,Never,Never,Rarely,No,None,No,Man,GIS or cartography certificate,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,"I haven't had to use it to negotiate a rate yet, but it's a great resource for that. I keep it in my back pocket just in case.","I don't depend on the income, so I'm picky about which projects I take on. The face-rate is $100 an hour, but when I've done freelance work I usually cap it at where I think is reasonable for the project. The rate provided here is the more honest place it ends up actually being, given that I tend to work long past the proposed hours.

If it were not work I wanted to do, for friends and clients I didn't care about, or for clients that had deeper pockets, I would be more aggressive on that 100/hr fee."
4/4/2025 17:50:46,0.5,Rarely,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",80,Never,Sometimes,Never,No,LLC,Yes,Man,"Other professional certification in cartography/GIS, ESRI MOOC ON SPATIAL DATA SCIENCE",Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
4/5/2025 8:21:04,100,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,90,Rarely,Never,Frequently,"Yes, because I am required to by a client",Partnership,Yes,Man,,Expert (equivalent to 20+ years of full-time mapmaking work),Yes,Confirmed my rates were in line with colleagues,"I pay commission of 10-15% on some of my work, and I count that as an expense... but I also factor that into my ""real"" hourly rate thinking. So the rate I quoted is neither my ""base"" rate of $110, nor my hourly rate for a particular discounted client ($85) nor my net-after-commission rate ($93-99). "
4/5/2025 14:16:45,100,Most or all of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",15,Never,Never,Frequently,"Yes, because I am required to by a client",Individual / Sole Proprietorship,No,Man,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I haven't seen any previous survey results,,
4/5/2025 15:03:59,75,Most or all of the time,I did not depend on it at all; mapping provided surplus income,10,Rarely,Never,Rarely,"Yes, but not because of a client requirement",Corporation,No,Man,"GIS or cartography certificate, BSc - geophysics",Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,"Perhaps some questions related to (self-)marketing and generating business leads. What are the strategies used, what proportion of time is spent developing products vs. business development, etc. "
4/5/2025 20:43:37,60,Some of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",10,Never,Rarely,Rarely,No,Individual / Sole Proprietorship,No,Man,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, GIS or cartography certificate",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,,
4/6/2025 7:04:44,60,Most or all of the time,I did not depend on it at all; mapping provided surplus income,5,Rarely,Rarely,Sometimes,No,Individual / Sole Proprietorship,No,Woman,"Bachelor’s degree in cartography/GIS/geography, GIS or cartography certificate",Expert (equivalent to 20+ years of full-time mapmaking work),Yes,,
4/6/2025 14:44:40,40,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Rarely,Never,Frequently,No,Individual / Sole Proprietorship,No,Woman,Master’s degree in cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),I haven't seen any previous survey results,,
4/7/2025 12:55:29,65,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Sometimes,Never,Sometimes,No,Individual / Sole Proprietorship,No,Woman,"Master's degree in geography, but not focused on cartography/GIS",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,Confidence in choosing my rates,My rate value is in Canadian dollars. 
4/7/2025 15:56:18,80,Most or all of the time,I did not depend on it at all; mapping provided surplus income,3,Never,Never,Frequently,No,Individual / Sole Proprietorship,No,Man,,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,To inform setting my hourly rate,
4/9/2025 12:39:46,45,Most or all of the time,I did not depend on it at all; mapping provided surplus income,5,Rarely,Never,Rarely,No,Individual / Sole Proprietorship,No,Woman,Master’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I haven't seen any previous survey results,,
4/10/2025 13:59:29,68,Most or all of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",85,Never,Rarely,Frequently,No,LLC,Yes,Woman,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,It is great to see the results on rates.,How much people are spending on software subscriptions? Do you want to expand to have employees or are you purposefully staying solo?
4/11/2025 22:13:19,5,Rarely,I depended on it completely; freelance mapping was necessary for my survival,80,Rarely,Never,Never,"Yes, because I am required to by a client",Individual / Sole Proprietorship,No,Man,Bachelor’s degree in cartography/GIS/geography,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I haven't seen any previous survey results,,
4/12/2025 0:43:01,30,Some of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",20,Rarely,Never,Rarely,No,Individual / Sole Proprietorship,No,Woman,Ph.D. cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),I haven't seen any previous survey results,,I would like to have an idea of other hourly rates. I find it easier to charge by the project.
4/12/2025 1:53:29,100,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Frequently,Never,Sometimes,No,Individual / Sole Proprietorship,Yes,Man,Master’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,
4/12/2025 17:17:37,55,Most or all of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",20,Never,Rarely,Never,"Yes, but not because of a client requirement",Individual / Sole Proprietorship,No,Woman,Other professional certification in cartography/GIS,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I haven't seen any previous survey results,,
4/13/2025 7:02:06,75,Some of the time,I did not depend on it at all; mapping provided surplus income,5,Sometimes,Rarely,Rarely,No,Individual / Sole Proprietorship,Yes,Man,"Master’s degree in cartography/GIS/geography, GISP certification",Expert (equivalent to 20+ years of full-time mapmaking work),No,,
4/14/2025 6:43:34,60,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,10,Never,Never,Sometimes,No,LLC,Yes,Man,Youtube University,Experienced (equivalent to 5–10 years of full-time mapmaking work),Yes,,Make them pay upfront to commission your work of art... 
4/15/2025 8:07:31,95,Most or all of the time,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",80,Rarely,Never,Sometimes,,Individual / Sole Proprietorship,No,Man,BSc. Geology,Expert (equivalent to 20+ years of full-time mapmaking work),Yes,It is good to see how others are doing; working in vacuum isn't always a good situation.,My rates operate on a sliding scale. Higher for nasty deep pockets (mining & oil/gas) and lower for personal value aligned non-profits.
4/15/2025 9:48:33,20,Some of the time,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",50,Rarely,Rarely,Sometimes,No,Individual / Sole Proprietorship,No,Man,self-taught,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),Yes,"Before these surveys, it was really hard to price my work, but these surveys, due to proud range, have allowed me to price them at a level that I find fair.",
4/15/2025 9:58:41,,Some of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Frequently,,Sometimes,No,Individual / Sole Proprietorship,No,Man,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, GIS or cartography certificate, Other professional certification in cartography/GIS",Expert (equivalent to 20+ years of full-time mapmaking work),I haven't seen any previous survey results,,
4/15/2025 10:59:25,,Rarely,I did not depend on it at all; mapping provided surplus income,0,Never,Never,Never,No,I don't have a legal structure. ,No,Man,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I haven't seen any previous survey results,,
4/17/2025 11:58:27,50,Rarely,I did not depend on it at all; mapping provided surplus income,1,Never,Never,Never,No,Individual / Sole Proprietorship,No,Man,"Bachelor’s degree in cartography/GIS/geography, Other professional certification in cartography/GIS",Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,Dipping my toe into freelance but would like to do it full time eventually - the results of this survey will be extremely helpful in establishing my business practices as I grow!
4/18/2025 16:01:34,140,Most or all of the time,I did not depend on it at all; mapping provided surplus income,1,Rarely,Never,Sometimes,No,LLC,No,,,Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,
4/19/2025 12:21:55,80,Some of the time,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",50,Never,Never,Rarely,"Yes, but not because of a client requirement",Individual / Sole Proprietorship,No,Man,Bachelor's degree in Visual Arts,Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,Would be interested to hear more about contract/agreements or process structure for maps when exact datasets aren't identified up front or are still in process by the client (as it often causes delays or scope changes).
4/21/2025 1:33:07,58,Some of the time,I did not depend on it at all; mapping provided surplus income,,Frequently,Rarely,Frequently,No,Individual / Sole Proprietorship,No,Man,Graphic design Master,Experienced (equivalent to 5–10 years of full-time mapmaking work),I haven't seen any previous survey results,,
4/21/2025 8:42:39,35,Rarely,I did not depend on it at all; mapping provided surplus income,1,Never,Never,Rarely,"Yes, but not because of a client requirement",Individual / Sole Proprietorship,No,Woman,GISP certification,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,"I am lucky to be in a position where I do not have to rely on income from my freelance work, therefore I do not need to charge clients very much.  On the other hand, my clients also cannot afford to pay very much, so if my rates were higher, they would likely just not hire me and forego their maps, or make them themselves with something like Google Maps.   It is a balancing act."
4/24/2025 3:36:09,30,Some of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",20,Never,Never,Sometimes,No,Individual / Sole Proprietorship,No,Man,,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,
4/25/2025 13:29:31,130,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,99,Frequently,Rarely,Frequently,No,Partnership,No,Man,,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
4/25/2025 16:16:02,60,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,20,Never,Never,Never,No,LLC,Yes,Man,Ph.D. Youtube Ujniversity,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,Commission the art! Pay up front! Or pack sand!
4/28/2025 16:17:39,,Some of the time,I did not depend on it at all; mapping provided surplus income,1,Never,Never,Sometimes,No,Individual / Sole Proprietorship,No,Man,,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I haven't seen any previous survey results,,
5/1/2025 4:15:23,60,Some of the time,I did not depend on it at all; mapping provided surplus income,6,Rarely,Never,Frequently,"Yes, because I am required to by a client",Individual / Sole Proprietorship,No,Non-binary,Bachelor’s degree in cartography/GIS/geography,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
5/2/2025 18:07:57,70,Rarely,I did not depend on it at all; mapping provided surplus income,2,Never,Never,Never,No,Individual / Sole Proprietorship,No,Man,"Master’s degree in cartography/GIS/geography, GIS or cartography certificate",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),Yes,"Based on previous survey results, I've tried to negotiate higher rates, realizing I and most of the rest of us are underpaid.","A part of me likes freelancing, another part of me has no idea how anyone makes a living doing it. "
5/8/2025 7:50:39,40,Most or all of the time,I did not depend on it at all; mapping provided surplus income,10,Never,Never,Frequently,"Yes, but not because of a client requirement",Individual / Sole Proprietorship,No,Man,,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I haven't seen any previous survey results,,"As a historian, I've decided to invest some time over the past years into learning how to use QGIS and Adobe-alternatives so that I'm able to augment my work with new and original maps. I've found it very difficult to find professional cartographers who aren't prohibitively expensive. Given the enthusiasm with which my work has been received by others working in my sector (from publications to museums wanting to use the maps) it seems there's a large market currently underserved by cartographers. And while it might take some effort to create a base map of a historical period in any given location, the plus side of this is that it's history, so it'll never change; there won't be any new canals, no new roads, not even any urban expansion. And given the enormous volume of books, exhibitions, tv programs, etc. it seems there's no shortage of potential customers."
5/13/2025 10:26:07,,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Sometimes,Rarely,Sometimes,No,Corporation,No,Man,Bachelor’s degree in cartography/GIS/geography,Very Experienced (equivalent to 10–20 years of full-time mapmaking work),No,,
5/13/2025 19:52:45,47.5,Most or all of the time,"I depended on it substantially; it would have been possible, but challenging, to survive without my freelance income",20,Never,Never,Sometimes,No,Individual / Sole Proprietorship,No,Woman,"Master’s degree in cartography/GIS/geography, Other professional certification in cartography/GIS",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),Yes,"Indicated how much to charge per hour, and helped me back up that number as an industry standard",
5/15/2025 0:50:31,110,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,70,Rarely,Never,Frequently,"Yes, but not because of a client requirement",LLC,Yes,Man,none,Expert (equivalent to 20+ years of full-time mapmaking work),Yes,,"I sometimes work hourly, but usually I make a project quote, calculating from estimated hours at the rate memtioned above. I also have a preferred rate for my former employer, with whom I still have a business relationship."
5/16/2025 2:11:33,100,Most or all of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Frequently,Rarely,Sometimes,No,Individual / Sole Proprietorship,Yes,Man,Master’s degree in cartography/GIS/geography,Expert (equivalent to 20+ years of full-time mapmaking work),No,,
5/16/2025 2:57:34,10,Some of the time,I did not depend on it at all; mapping provided surplus income,1,Never,Never,Never,No,Individual / Sole Proprietorship,Yes,Man,"Master’s degree in cartography/GIS/geography, GIS or cartography certificate",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),I haven't seen any previous survey results,,
5/16/2025 6:50:25,0,Never,I did not depend on it at all; mapping provided surplus income,0,Never,Never,Never,No,,No,Man,,Experienced (equivalent to 5–10 years of full-time mapmaking work),No,,
5/16/2025 7:38:41,40,Some of the time,"I depended on it somewhat; it would not have been difficult to survive without freelance income, but it helped make it easier",4,Never,Never,Rarely,No,I make maps for professors at universities so I get hired as a contractor through the university,No,Woman,"Bachelor’s degree in cartography/GIS/geography, Master’s degree in cartography/GIS/geography, GIS or cartography certificate",Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,
5/16/2025 7:57:17,40,Some of the time,I depended on it completely; freelance mapping was necessary for my survival,100,Sometimes,Never,Frequently,No,Individual / Sole Proprietorship,No,Man,Other professional certification in cartography/GIS,Expert (equivalent to 20+ years of full-time mapmaking work),I haven't seen any previous survey results,,
5/16/2025 8:12:09,40,Most or all of the time,I did not depend on it at all; mapping provided surplus income,3,Sometimes,Never,Frequently,No,Individual / Sole Proprietorship,No,Man,"Bachelor’s degree in cartography/GIS/geography, GIS or cartography certificate, Other professional certification in cartography/GIS",Very Experienced (equivalent to 10–20 years of full-time mapmaking work),I haven't seen any previous survey results,,
5/16/2025 9:51:16,45,Most or all of the time,I did not depend on it at all; mapping provided surplus income,2,Sometimes,Never,Rarely,No,Individual / Sole Proprietorship,No,Man,GIS or cartography certificate,Somewhat Experienced (just beginning to a few years of full-time mapmaking work),No,,
